trace,total,mispredict,accuracy
400.perlbench-41B,50002,14616,70.77
401.bzip2-7B,50000,28585,42.83
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,8340,83.32
416.gamess-875B,50001,23725,52.55
429.mcf-22B,50001,32101,35.8
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,17396,65.21
435.gromacs-111B,50002,24511,50.98
436.cactusADM-1804B,50002,5715,88.57
437.leslie3d-134B,50000,1220,97.56
444.namd-23B,50003,615,98.77
445.gobmk-2B,50000,22885,54.23
447.dealII-3B,50002,15731,68.54
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,19745,60.51
454.calculix-104B,50000,18100,63.8
456.hmmer-88B,50003,15411,69.18
458.sjeng-31B,50001,26626,46.75
459.GemsFDTD-765B,50003,10826,78.35
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,13380,73.24
465.tonto-44B,50003,30012,39.98
470.lbm-1274B,50002,20116,59.77
481.wrf-196B,50003,1115,97.77
482.sphinx3-234B,50002,8180,83.64
623.xalancbmk_s-10B,50000,27790,44.42
625.x264_s-12B,50003,8275,83.45
628.pop2_s-17B,50000,11695,76.61
649.fotonik3d_s-1B,50000,17775,64.45
