trace,total,mispredict,accuracy
400.perlbench-41B,50002,18141,63.72
401.bzip2-7B,50000,20480,59.04
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,8685,82.63
416.gamess-875B,50002,20096,59.81
429.mcf-22B,50001,20920,58.16
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,26006,47.99
435.gromacs-111B,50002,20246,59.51
436.cactusADM-1804B,50002,24286,51.43
437.leslie3d-134B,50001,1180,97.64
444.namd-23B,50002,5775,88.45
445.gobmk-2B,50000,17655,64.69
447.dealII-3B,50001,16185,67.63
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,19480,61.04
454.calculix-104B,50000,13565,72.87
456.hmmer-88B,50003,30592,38.82
458.sjeng-31B,50001,21080,57.84
459.GemsFDTD-765B,50003,14436,71.13
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,14780,70.44
465.tonto-44B,50000,18375,63.25
470.lbm-1274B,50002,18706,62.59
481.wrf-196B,50002,745,98.51
482.sphinx3-234B,50002,9790,80.42
623.xalancbmk_s-10B,50000,23135,53.73
625.x264_s-12B,50003,13571,72.86
628.pop2_s-17B,50000,16815,66.37
649.fotonik3d_s-1B,50000,17195,65.61
