trace,total,mispredict,accuracy
400.perlbench-41B,50002,2240,95.52
401.bzip2-7B,50000,1845,96.31
403.gcc-16B,50003,0,100
410.bwaves-945B,50000,4475,91.05
416.gamess-875B,50002,6625,86.75
429.mcf-22B,50002,1630,96.74
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,215,99.57
435.gromacs-111B,50002,6740,86.52
436.cactusADM-1804B,50003,4285,91.43
437.leslie3d-134B,50000,1145,97.71
444.namd-23B,50003,155,99.69
445.gobmk-2B,50000,2780,94.44
447.dealII-3B,50002,7340,85.32
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,6825,86.35
454.calculix-104B,50000,14035,71.93
456.hmmer-88B,50003,395,99.21
458.sjeng-31B,50001,9575,80.85
459.GemsFDTD-765B,50003,3610,92.78
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,3500,93
465.tonto-44B,50004,7821,84.36
470.lbm-1274B,50002,435,99.13
481.wrf-196B,50003,370,99.26
482.sphinx3-234B,50002,2515,94.97
623.xalancbmk_s-10B,50000,2780,94.44
625.x264_s-12B,50003,7205,85.59
628.pop2_s-17B,50000,770,98.46
649.fotonik3d_s-1B,50003,2475,95.05
