trace,total,mispredict,accuracy
400.perlbench-41B,50002,1860,96.28
401.bzip2-7B,50000,2465,95.07
403.gcc-16B,50003,0,100
410.bwaves-945B,50000,7340,85.32
416.gamess-875B,50000,5465,89.07
429.mcf-22B,50001,2365,95.27
433.milc-127B,50000,0,100
434.zeusmp-10B,50002,995,98.01
435.gromacs-111B,50002,5805,88.39
436.cactusADM-1804B,50002,24286,51.43
437.leslie3d-134B,50001,5030,89.94
444.namd-23B,50003,105,99.79
445.gobmk-2B,50000,2470,95.06
447.dealII-3B,50002,4165,91.67
450.soplex-92B,50003,150,99.7
453.povray-252B,50001,8140,83.72
454.calculix-104B,50000,2780,94.44
456.hmmer-88B,50003,740,98.52
458.sjeng-31B,50001,9250,81.5
459.GemsFDTD-765B,50003,0,100
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,680,98.64
465.tonto-44B,50004,1895,96.21
470.lbm-1274B,50002,580,98.84
481.wrf-196B,50003,370,99.26
482.sphinx3-234B,50002,3025,93.95
623.xalancbmk_s-10B,50000,0,100
625.x264_s-12B,50000,4380,91.24
628.pop2_s-17B,50000,1030,97.94
649.fotonik3d_s-1B,50003,1600,96.8
